,date,demand
1323,2018-08-16,131137.065
1324,2018-08-17,125189.54
1325,2018-08-18,116571.25999999994
1326,2018-08-19,119707.92999999998
1327,2018-08-20,138918.385
1328,2018-08-21,138424.25000000006
1329,2018-08-22,136240.84499999994
1330,2018-08-23,131956.72499999998
1331,2018-08-24,130210.94
1332,2018-08-25,116471.77499999998
1333,2018-08-26,111436.265
1334,2018-08-27,131280.84999999998
1335,2018-08-28,139563.09499999994
1336,2018-08-29,136032.16
1337,2018-08-30,139752.545
1338,2018-08-31,130466.915
1339,2018-09-01,116344.56500000006
1340,2018-09-02,118402.905
1341,2018-09-03,131448.995
1342,2018-09-04,128192.085
1343,2018-09-05,118307.15499999994
1344,2018-09-06,116467.36999999998
1345,2018-09-07,123583.52
1346,2018-09-08,109948.615
1347,2018-09-09,107838.95000000004
1348,2018-09-10,123132.625
1349,2018-09-11,111096.53
1350,2018-09-12,112935.04
1351,2018-09-13,117880.565
1352,2018-09-14,111213.15000000002
1353,2018-09-15,108632.35499999998
1354,2018-09-16,113030.005
1355,2018-09-17,118208.23999999998
1356,2018-09-18,119622.28500000006
1357,2018-09-19,123787.77000000006
1358,2018-09-20,125335.56999999998
1359,2018-09-21,120372.48
1360,2018-09-22,107731.72
1361,2018-09-23,107332.1
1362,2018-09-24,119535.715
1363,2018-09-25,124797.085
1364,2018-09-26,119238.345
1365,2018-09-27,110878.66999999998
1366,2018-09-28,108622.42
1367,2018-09-29,109315.06500000005
1368,2018-09-30,106236.22999999997
1369,2018-10-01,114466.63999999998
1370,2018-10-02,114458.20500000002
1371,2018-10-03,115490.835
1372,2018-10-04,115294.12
1373,2018-10-05,112576.54500000006
1374,2018-10-06,102988.14500000002
1375,2018-10-07,100476.70500000002
1376,2018-10-08,113945.5
1377,2018-10-09,116449.31
1378,2018-10-10,109551.08000000005
1379,2018-10-11,110432.33
1380,2018-10-12,110457.335
1381,2018-10-13,96584.74499999998
1382,2018-10-14,90918.615
1383,2018-10-15,108070.27499999998
1384,2018-10-16,113889.41
1385,2018-10-17,112592.26
1386,2018-10-18,112806.585
